accident_id,date_time,location_lat,location_lon,severity,temperature,rain,visibility,Speed_Limit,traffic
A-7182628,2020-04-17 09:29:30,26.7069,-80.11936,0.0,25.3,4.4,10.0,45,2
A-5404588,2022-04-21 10:01:00,38.781024,-121.26582,1.0,15.25,15.8,10.0,45,1
A-156000,2016-08-12 16:45:00,33.985249,-84.269348,2.0,26.75,1.0,10.0,45,0
A-1871277,2019-09-20 15:22:16,47.118706,-122.556908,2.0,16.55,3.2,10.0,60,0
A-2031222,2019-06-03 16:55:43,33.451355,-111.890343,1.0,28.65,0.0,10.0,25,1
A-1167415,2021-02-04 12:48:21,42.44891,-93.721138,1.0,-3.75,10.0,0.5,45,0
A-4021880,2022-06-23 10:57:30,38.858169,-77.219815,1.0,20.6,41.9,10.0,45,1
A-1314019,2020-09-25 16:48:29,32.434292,-82.50071,2.0,25.75,15.4,1.0,35,0
A-721069,2022-02-04 19:57:43,39.10696,-76.939789,1.0,7.95,19.6,10.0,40,1
A-3677476,2023-03-26 14:38:00,37.636405,-122.087711,1.0,7.5,0.0,10.0,65,0
A-7221635,2020-01-14 00:41:00,45.5116,-92.99298,1.0,-4.15,4.4,3.0,70,1
A-2964547,2018-03-23 07:43:01,40.360512,-79.907692,1.0,-5.25,0.0,10.0,35,1
A-4978332,2022-04-27 15:47:00,32.991182,-117.210233,1.0,16.4,0.2,9.0,5,1
A-5188099,2022-08-21 06:40:30,30.209486,-89.795661,1.0,26.5,7.4,10.0,60,0
A-2577472,2018-09-11 08:16:17,35.975361,-86.645889,1.0,19.75,0.0,10.0,40,1
A-4636068,2022-03-22 08:11:25,38.42450022679128,-77.4196779724244,1.0,13.15,0.0,10.0,65,0
A-640922,2022-04-22 12:48:26,35.34877,-97.529953,1.0,23.6,0.2,10.0,25,1
A-513526,2022-09-07 17:47:35,42.561768,-71.29819499999998,1.0,18.2,0.1,10.0,65,1
A-787339,2021-12-08 05:01:58,35.237194,-80.854927,2.0,8.85,3.1,1.0,70,0
A-6051707,2021-10-09 15:52:04,42.741664,-73.652872,1.0,15.25,0.0,10.0,4,1
A-667963,2022-03-22 18:51:15,33.790718,-78.99678,2.0,15.9,0.0,10.0,45,0
A-189470,2016-10-18 17:38:19,42.973778,-83.712906,1.0,22.5,0.0,10.0,45,1
A-5876530,2021-05-26 07:00:00,26.625007,-81.715533,1.0,27.3,0.1,8.0,45,1
A-2316959,2019-01-04 13:38:05,40.427761,-79.891373,2.0,3.15,0.0,8.0,25,0
